#OTU ID	barcode01	barcode02
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_48	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_49	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_5	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_50	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_51	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_52	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_53	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_54	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_55	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_56	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_57	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_58	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_59	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_6	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_60	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_61	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_62	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_63	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_64	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_65	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_66	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_67	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_68	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_69	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_7	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_70	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_71	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_72	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_73	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_74	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_75	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_76	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_77	0	1
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_78	1	0
858b35ad-1b7f-40c3-80f1-a5901d4da81c_Unknown_cluster_79	1	0
