#OTU ID	barcode01	barcode02
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_215	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_216	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_217	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_218	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_219	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_22	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_220	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_221	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_222	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_223	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_224	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_225	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_226	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_227	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_228	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_229	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_23	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_230	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_231	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_232	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_233	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_234	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_235	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_236	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_237	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_24	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_25	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_26	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_27	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_28	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_29	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_3	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_30	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_31	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_32	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_33	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_34	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_35	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_36	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_37	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_38	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_39	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_4	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_40	2	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_41	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_42	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_43	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_44	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_45	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_46	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_47	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_48	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_49	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_5	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_50	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_51	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_52	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_53	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_54	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_55	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_56	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_57	0	1
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_58	1	0
4adc9498-5243-42b0-920e-e9f3790651be_Unknown_cluster_59	0	1
