"","Kingdom","Phylum","Class","Order","Family","Genus","Species","barcode01","barcode02"
"KJ191984.1.1474","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured Rhodospirillaceae bacterium","",20,24
"JX504965.1.1438","Bacteria","Chloroflexi","AD3","uncultured Clostridium sp.","","","",20,7
"JN023172.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",20,5
"JF833936.1.1484","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",20,44
"JF222334.1.1366","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","uncultured bacterium",20,8
"EU043719.1.1376","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured Alphaproteobacteria bacterium","",20,17
"EF516749.1.1434","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",20,45
"AWZU01000001.116042.117510","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium sp. ARR65",20,15
"KM200524.1.1500","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",19,13
"JN024044.1.1458","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",19,23
"JN024033.1.1459","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",19,26
"JN024031.1.1481","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured","uncultured bacterium","",19,19
"JN024004.1.1456","Bacteria","WPS-2","uncultured bacterium","","","","",19,2
"HQ445777.1.1479","Bacteria","Chloroflexi","AD3","uncultured bacterium","","","",19,4
"HM062155.1.1432","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","uncultured","uncultured Acidobacteria bacterium",19,16
"FJ478533.1.1448","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium",19,30
"KY984283.1.1410","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","uncultured Chloroflexi bacterium","","",18,5
"KM200491.1.1513","Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","uncultured","uncultured planctomycete",18,8
