KY176925.1.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;Ideonella sp.
EU221388.1.1506 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus megaterium
JX011000.1.1512 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;Paraburkholderia tuberum
KC854989.1.1469 Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Tumebacillus;Tumebacillus sp. WWH33
AB696873.1.1386 Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces sp. UNPA198
AB488181.1.1361 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;uncultured bacterium
HM748695.1.1420 Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;uncultured;bacterium Ellin6547
KF289905.1.1471 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;'Paenibacillus cucumis' Ahn et al. 2014
KJ540688.2.1404 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured Chitinophagaceae bacterium
KJ540681.1.1449 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Segetibacter;uncultured Segetibacter sp.
AB362824.1.1519 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. YT0073
FJ822640.1.1363 Bacteria;Verrucomicrobiota;Verrucomicrobiae;Chthoniobacterales;Xiphinematobacteraceae;Candidatus Xiphinematobacter;uncultured Verrucomicrobia bacterium
KY323329.1.1525 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus thuringiensis
KF475838.1.1480 Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii
KP670287.1.1521 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. DB14881
JX458434.1.1544 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. W1.09-40
AB716944.1.1495 Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium marinum
KP025677.1.1427 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas parvus
KJ540633.1.1436 Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;LWQ8;uncultured Candidatus Saccharibacteria bacterium
KF595153.1.1468 Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter;Steroidobacter sp. JC2953
AB542369.1.1463 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus sp. TSA2r
KY122000.1.1489 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter sp.
KY176943.1.1520 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter;Ramlibacter sp.
KY445623.1.1488 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Ideonella;Ideonella sp.
JX629454.1.1525 Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium szulgai
AB738795.1.1501 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus pseudomycoides
AB546286.1.1473 Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes sp. IR56-Co102
KY292428.1.1472 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia;Leifsonia shinshuensis
KF673492.1.1514 Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;Saccharopolyspora griseoalba
KJ540845.1.1483 Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;uncultured Myxococcales bacterium
JF905619.1.1447 Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;Methylobacterium sp. 20
KF479528.1.1511 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;Paenibacillus sp. A9
AY673166.1.1459 Bacteria;Planctomycetota;Phycisphaerae;Tepidisphaerales;WD2101 soil group;Planctomycetales bacterium Ellin6207
AB769178.1.1402 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. UTPF34
KT861785.1.1513 Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium paraterrae
KJ606802.1.1354 Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;1174-901-12;Methyloferula sp. PAMC 26571
FJ889345.1.1493 Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;uncultured Dokdonella sp.
KT984876.1.1523 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;Flavisolibacter sp. TX0655
AY635873.1.1503 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. BM-10_7
FJ889343.1.1495 Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;uncultured Dokdonella sp.
AB637183.1.1509 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;uncultured bacterium
HZ486632.1.1480 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Ureibacillus;Ureibacillus suwonensis
AB637271.1.1501 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;uncultured bacterium
KC121329.1.1488 Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Edaphobacter;Acidobacteria bacterium enrichment culture clone SC-2 (3.2)
MH094645.1.1402 Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Devosiaceae;Devosia;Devosia sp.
KC172358.1.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;uncultured;uncultured gamma proteobacterium
KH494659.2.1534 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Ureibacillus;unidentified
AB745450.1.1523 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Ammoniibacillus;Ammoniibacillus agariperforans
AB681785.1.1491 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Cerasibacillus;Cerasibacillus quisquiliarum
AB630642.1.1424 Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured bacterium
MH158286.1.1484 Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Methylobacterium-Methylorubrum;Methylobacterium currus
LT629750.4305145.4306635 Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;Bradyrhizobium canariense
KT950747.1.1409 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas agri
AB637243.1.1510 Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;uncultured bacterium
KU094072.1.1461 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;Flavisolibacter sp. TX0705
KJ650771.1.1482 Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;uncultured Acidimicrobiales bacterium
LF651643.1.1489 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum;Herbaspirillum sp.
HQ119173.1.1519 Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Solirubrobacter;uncultured bacterium
LG103644.1.1493 Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus sp. 7-16AIA
KJ734894.1.1514 Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Cohnella;uncultured bacterium
KC172247.1.1497 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;uncultured beta proteobacterium
KC172208.1.1498 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067;uncultured beta proteobacterium
KC172202.1.1491 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavitalea;uncultured Flavisolibacter sp.
LN567707.1.1355 Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Haloactinopolyspora;uncultured bacterium
HQ120956.1.1467 Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;uncultured bacterium
KC172199.1.1464 Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;uncultured bacterium
AB672155.1.1477 Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;uncultured bacterium
KJ693788.621.2129 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;uncultured bacterium
